,EP_id,Publications_in_venue,OC_omid,issn,Open Access
1782,444788,570,06140882097,"['1570-0682', '0943-3058']",Unknown
3708,482068,570,061201547549,"['0242-7702', '2425-1941']",True
926,439615,569,0621025349,"['1069-3971', '1552-3578']",Unknown
1945,445964,569,062401240645,"['1368-8790', '1466-1888']",Unknown
1609,443719,569,061301399329,"['0167-5133', '1477-4593']",Unknown
2542,469921,568,06701828176,"['1744-134X', '1744-1331']",Unknown
2356,448356,567,0610242064,"['0955-2359', '1477-4674']",Unknown
3667,481965,567,064069550,"['2051-6185', '0197-7261']",Unknown
1315,442054,566,0640999891,"['1468-2419', '1360-3736']",Unknown
2227,447573,566,0640347752,"['1050-8414', '1532-7108']",Unknown
437,343423,566,06403538377,"['1558-5727', '0155-977X']",True
3859,482932,566,061202126881,"['2263-5947', '1157-1330']",Unknown
2718,471828,566,06501781961,"['0973-0672', '0971-5215']",Unknown
7132,497365,565,06702396026,"['2078-8975', '2078-8983']",True
3709,482075,565,065023513,"['2104-3795', '0249-6739']",Unknown
1159,441019,564,06150550044,"['1089-2699', '1930-7802']",Unknown
3511,480769,564,061902722865,"['1465-7317', '0940-7391']",Unknown
2515,468899,564,06210784377,"['1546-2234', '1546-5012']",Unknown
1628,443791,564,062103108740,['1069-1898'],True
739,438128,563,0670570761,"['1740-9314', '1444-2213']",Unknown
1243,441557,563,06130223593,"['0019-7246', '1572-8536']",Unknown
1860,445378,563,06150885891,['1527-9421'],Unknown
6369,493242,563,06501784804,"['1681-116X', '2518-735X']",True
2702,471733,562,06703487376,['1864-6042'],True
2060,446604,562,06250605359,['0766-5598'],Unknown
1543,443265,562,0680839904,"['1460-3586', '1359-1835']",Unknown
1709,444296,561,0680549057,"['1568-4555', '1573-1863']",Unknown
532,422808,561,061903113490,"['1056-4934', '1944-7086']",Unknown
2670,471217,561,061601649872,"['1753-1063', '1753-1055']",Unknown
1907,445726,561,0620422716,"['1386-9795', '1741-5918']",Unknown
1062,440410,560,062202202012,"['1461-7110', '0265-6914']",Unknown
5819,489991,560,06102784010,"['2167-6984', '2167-6968']",Unknown
1906,445724,560,06190961602,"['1744-6406', '0031-8019']",Unknown
2972,475147,560,061701796559,"['1753-9137', '1753-9129']",Unknown
936,439679,559,0620287759,"['1747-7506', '1466-4208']",Unknown
518,419489,558,0644047247,"['0269-8803', '2151-2124']",Unknown
2717,471820,555,06401780341,"['1750-4813', '1750-4821']",Unknown
3929,483214,555,061502453290,"['1477-2264', '1048-6801']",Unknown
3470,480332,555,0617043171,"['2306-3483', '2071-8330']",True
3855,482927,555,062402018568,"['1145-3370', '2101-0420']",Unknown
2816,473198,554,06201506054,['1301-3718'],True
2174,447279,554,0630905797,"['0266-0830', '1478-9833']",Unknown
3674,481984,554,062401281885,"['1988-3102', '0210-4466']",True
1143,440942,553,06210893940,"['0266-3554', '1477-089X']",Unknown
2828,473410,552,06201074736,"['0104-9313', '1678-4944']",True
1086,440531,552,062201883292,"['0014-3502', '2198-0470']",Unknown
5394,488248,552,062502418435,"['1444-6928', '0067-205X']",Unknown
3281,478242,551,06110332784,"['1744-2656', '1744-2648']",Unknown
2367,449254,551,062201809282,"['1745-493X', '1523-2409']",Unknown
895,439404,550,06303711208,"['0899-3408', '1744-5175']",Unknown
620,437122,550,06403538464,"['1467-6303', '0155-9982']",Unknown
5299,487794,549,06240255785,"['1746-5729', '2042-8731']",Unknown
6532,493767,548,061102066856,"['2013-9004', '0210-2862']",True
2538,469887,548,0670302947,"['1479-294X', '1479-2931']",Unknown
269,341868,547,06120234069,"['0955-2367', '1469-2961']",Unknown
5242,487474,546,062601482920,"['1572-8315', '1573-3750']",Unknown
3826,482873,546,0622049836,"['1988-2793', '1130-2496']",True
1150,440958,546,06602797116,"['1945-4023', '1084-8657']",Unknown
7358,498423,546,06301227420,"['0378-2905', '2459-0150']",Unknown
828,438835,545,06501316383,"['0841-8209', '2056-4260']",Unknown
746,438172,545,06220770958,['1075-2935'],Unknown
3135,476664,545,062402657039,['1757-5818'],Unknown
4398,484994,545,06301152052,"['2194-587X', '1940-1639']",Unknown
3185,477286,545,06130847729,"['1743-727X', '1743-7288']",Unknown
1821,445032,544,063035618,"['1387-6740', '1569-9935']",Unknown
3821,482831,543,06702159938,"['1724-2142', '1123-9891']",Unknown
971,439906,543,06701110362,"['1462-6268', '1744-3806']",Unknown
2368,449260,542,06101304722,"['2052-6148', '0263-7189']",Unknown
94,340465,542,061801022448,"['1502-394X', '0803-8740']",Unknown
3241,477743,542,061301859191,['1644-9584'],True
2471,468245,542,0660545552,"['1573-8701', '1569-1721']",Unknown
4177,484108,542,06260796846,"['1537-7814', '1943-3557']",Unknown
2601,470684,542,06260659156,"['1554-4788', '1554-477X']",Unknown
1680,444158,542,06240338992,"['2044-2394', '1369-4154']",Unknown
1181,441160,541,06401867778,"['1988-4265', '0018-215X']",True
3627,481743,541,06301852940,"['0066-5061', '1988-4230']",True
884,439315,541,06170478962,['1936-1637'],Unknown
2460,451878,540,06210576681,"['1041-2573', '1753-3074']",Unknown
1465,442880,540,06202213475,"['1572-8609', '1382-4554']",Unknown
6683,494566,540,061101613363,['2223-1609'],Unknown
1589,443638,539,0680970114,"['1062-726X', '1532-754X']",Unknown
2955,474964,539,0690958614,"['1867-1233', '1042-1726']",Unknown
1128,440783,538,06503534985,"['1477-4542', '0269-1191']",Unknown
691,437855,538,063027410,"['1463-4996', '1741-2641']",Unknown
969,439897,538,061101069524,"['0043-2539', '1570-0607']",Unknown
1123,440761,537,0650679716,"['0015-8518', '1471-6860']",Unknown
888,439325,537,0640548588,"['1569-1322', '1569-1330']",Unknown
2086,446734,536,062203046095,"['2194-4075', '0080-5319']",Unknown
2364,449240,536,061603043714,"['2158-1592', '0735-3766']",Unknown
4002,483578,535,06901940681,"['2214-367X', '2214-3688']",Unknown
1590,443647,534,06503147501,"['0929-6174', '1744-5035']",Unknown
3546,481119,534,06180854249,"['1016-264X', '1664-2902']",Unknown
2701,471721,534,06160623984,"['1745-7289', '1745-7297']",Unknown
3537,481017,533,06120553381,"['2047-3869', '2047-3877']",Unknown
2552,470046,533,062201206683,"['1748-5819', '0740-770X']",Unknown
3584,481579,533,06130223865,['0019-7289'],Unknown
4598,485584,533,06201837453,"['1833-6914', '1030-0112']",Unknown
1665,444088,532,069034505,"['1741-2994', '1470-4129']",Unknown
700,437875,531,06801299729,"['2117-539X', '0066-4871']",True
583,433769,531,06150419333,"['1387-1579', '1573-1855']",Unknown
850,439045,531,061303064690,"['1835-8535', '1324-9347']",Unknown
2417,451200,531,061503322911,"['1479-8409', '1479-8417']",Unknown
3052,475987,531,062101742780,"['0394-7394', '1825-3911']",Unknown
3230,477685,530,066052780,"['0254-1106', '2182-7435']",True
3971,483408,529,062503293206,"['1745-0926', '1745-0918']",Unknown
3473,480371,529,061701499786,"['1779-0980', '1961-859X']",True
1732,444358,529,06302858465,"['1540-5826', '0938-8982']",Unknown
1294,441913,529,06170885956,"['1460-8545', '1468-2370']",Unknown
2271,447832,529,06210651877,['1533-0699'],Unknown
511,418361,529,061201747365,"['1524-8879', '1874-6306']",Unknown
1825,445072,528,0620281172,"['1094-2076', '2325-5404']",Unknown
3519,480850,528,061901241257,['2259-924X'],True
4578,485481,527,0620421168,"['1965-0256', '1267-4982']",Unknown
2694,471652,527,0640852476,"['2151-2590', '1864-9335']",Unknown
1147,440948,527,062102385392,['2164-8646'],Unknown
1755,444498,527,06170745424,"['0884-0709', '1573-0573', '0922-6567']",Unknown
3359,478975,526,06302276666,"['1867-8319', '2196-7148']",Unknown
3321,478734,526,061401289255,['0033-2984'],Unknown
449,343546,526,064030235,"['1502-4717', '0332-5865']",Unknown
8339,503176,525,06101096269,"['2543-1684', '0924-6304']",True
2333,448252,525,0660391567,"['2190-6270', '0932-4089']",Unknown
2658,471117,525,0637048328,"['2047-9433', '0269-7580']",Unknown
1781,444782,524,06601239374,"['1092-6488', '1532-7868']",Unknown
3260,477918,524,06150459788,"['2210-657X', '2210-6561']",Unknown
2659,471149,524,061901436734,"['1478-0887', '1478-0895']",Unknown
1185,441169,522,061101249354,"['1638-1580', '0750-8069']",True
3257,477864,521,06501270356,"['0892-8339', '1548-1379']",Unknown
3273,478101,521,06502192388,"['1540-7969', '2169-2408']",Unknown
2474,468276,520,06801417480,"['1476-7430', '1572-5138']",Unknown
3120,476576,520,0620185450,"['1940-1612', '1940-1620']",Unknown
2681,471305,519,061201916389,"['2194-6124', '1935-1704']",Unknown
3824,482871,519,06201489757,"['1988-8376', '1130-2097']",True
3089,476369,518,0619057938,['1363-5387'],True
5488,488533,518,06501862458,"['1988-429X', '0034-9712']",True
3890,483042,518,0612043302,"['1303-0485', '2630-5984', '2148-7561']",Unknown
2944,474898,517,06150738881,"['1468-2737', '1745-820X']",Unknown
1660,444039,517,062601125773,"['1759-3999', '0022-5266']",Unknown
5175,487154,516,06190519411,['1807-1600'],True
1436,442766,516,061603137558,"['1741-2919', '1468-7984']",Unknown
588,434681,515,06301184425,"['1741-3052', '1473-0952']",Unknown
1576,443530,514,061509166,"['0022-3611', '1573-0433']",Unknown
2076,446679,514,06160425448,"['0883-1157', '1940-3216']",Unknown
6831,496383,514,061401834935,"['2254-6103', '1133-6137']",True
2856,473865,514,06502216118,"['1983-3121', '0034-7329']",True
2067,446630,513,0630998320,['0035-3841'],Unknown
2533,469817,513,06170630365,['1520-8583'],Unknown
3485,480557,513,06702138484,"['2013-0953', '2013-8423']",True
2689,471591,512,061701712405,"['1648-715X', '1648-9179']",True
1295,441918,512,06701293379,"['2052-7756', '0843-8714']",Unknown
716,437989,511,06602808998,"['1380-2038', '1478-2294']",Unknown
6036,490818,511,064048242,['2031-0293'],True
1895,445665,510,062201019818,"['1088-8683', '1532-7957']",Unknown
7211,497828,510,062501735349,"['2335-1578', '1111-2050', '2253-0738']",Unknown
1067,440432,510,061502692835,"['1744-4233', '1382-5577']",Unknown
3119,476569,509,06180361991,"['0896-6346', '1305-3299']",Unknown
4202,484175,508,06301172774,"['2328-9252', '2328-9260']",Unknown
1136,440845,506,0690637457,"['1098-092X', '0270-6679', '1936-4717']",Unknown
1410,442623,505,0680635375,"['1520-3972', '1531-3298']",Unknown
6860,496486,505,062601929594,"['2227-6718', '2218-4511']",Unknown
1841,445223,505,06240388354,"['1613-0790', '0342-1422']",Unknown
2148,447191,504,066029777,"['1741-315X', '1476-1270']",Unknown
3410,479807,504,06202239858,"['2049-8470', '2049-8489']",Unknown
5696,489280,503,06303520887,"['2217-4753', '0042-8469']",True
2493,468676,503,062102209876,['0484-8942'],Unknown
2182,447333,503,062101419048,"['1421-0185', '1662-0879']",Unknown
2618,470864,501,061501414298,"['1166-3081', '1958-5780']",Unknown
1810,444995,501,0670587039,"['0262-5245', '1468-2249']",Unknown
3138,476692,500,06203101347,"['1944-7558', '1944-7515']",Unknown
1138,440847,500,0630317728,"['0973-0656', '0971-8524']",Unknown
2346,448281,498,061801997288,"['0044-2992', '2569-1619']",Unknown
679,437694,498,062601301240,"['0263-6751', '1474-0532']",Unknown
2318,448172,498,06140501886,"['1747-5848', '0969-9082']",Unknown
4465,485151,498,066027028,"['2194-6183', '1540-8884']",Unknown
4862,486236,497,061102087608,"['2077-429X', '2077-4303']",Unknown
3882,483024,497,061302396906,['1269-1763'],Unknown
393,343084,496,063071963,"['0902-7351', '1571-8107']",Unknown
1355,442315,496,061802219059,"['0047-2212', '1570-0631']",Unknown
5103,486959,495,061201604313,['2223-2966'],Unknown
5471,488489,494,062302605310,['2271-6092'],True
2794,472802,494,06150598103,"['1900-6152', '0121-1617']",True
5646,489016,494,061801087845,"['1330-7533', '1847-3377']",True
5105,486961,494,061301603409,['2223-2982'],Unknown
2726,471954,493,062101320251,"['1547-7355', '2194-6361']",Unknown
6535,493779,493,061402087636,"['1899-0665', '2544-3275']",True
2884,474066,493,06401416916,['1762-6153'],True
2625,470910,493,062301843509,"['1749-5687', '1749-5679']",Unknown
2071,446641,493,06250996744,"['1533-8541', '0734-8584']",Unknown
1251,441603,493,06260865529,"['1570-1255', '1875-8754']",Unknown
301,342161,492,06302248204,"['0039-338X', '1502-7791']",Unknown
2205,447449,492,06180721336,"['0040-4969', '1743-2952']",Unknown
4360,484903,492,062402626662,"['1755-1714', '1743-4521']",Unknown
4537,485377,491,062301773291,['2331-1983'],True
1076,440507,491,061201684820,"['1474-0044', '1361-4916']",Unknown
6027,490768,490,062602804427,"['1543-4311', '1543-4303']",Unknown
1747,444440,490,063035615,"['0378-4169', '1569-9927']",Unknown
5573,488793,489,061602146496,"['1989-4147', '1576-9402']",True
2488,468595,489,062202446155,"['1365-4802', '1475-7583']",Unknown
3721,482158,489,061703126797,"['1492-1391', '0316-2923']",Unknown
6379,493267,488,062601365644,"['2500-5308', '0122-8706']",True
2141,447113,488,0612065869,"['1470-1235', '1356-2576']",Unknown
4231,484458,488,061202022026,"['1123-9883', '1724-2150']",Unknown
6144,491110,488,0611044533,"['2308-1163', '2542-2308', '2308-1155']",True
2532,469801,487,06201056029,"['1560-4624', '1741-5055']",Unknown
2902,474313,487,062101659353,"['0042-3955', '1984-6746']",True
6756,494986,487,062202082615,['2175-3369'],True
645,437457,486,06230347320,"['0002-1482', '1533-8290']",Unknown
597,436026,486,061301659397,"['0212-4521', '2174-6486']",True
1573,443502,486,06801341990,"['1475-3022', '1474-7472']",Unknown
737,438113,485,062502398040,"['0924-8463', '1572-8382']",Unknown
2987,475407,485,0660604280,"['1871-9805', '1871-9791']",Unknown
1689,444219,484,061401090145,['1538-5000'],Unknown
2342,448267,484,06703216790,"['1613-0626', '0301-3294']",Unknown
2183,447343,483,062201118067,"['0039-7709', '1931-0676']",Unknown
1242,441556,483,06603233358,"['0019-7262', '1613-0405']",Unknown
4712,485867,483,0623028716,"['0048-8046', '1663-4446']",Unknown
6285,491615,483,061902094901,"['2560-4880', '0085-6320']",True
1348,442260,483,06110738009,"['1468-1099', '1474-0060']",Unknown
1036,440271,482,06801149000,['0967-3407'],Unknown
2569,470349,482,06160860033,"['1743-8594', '1743-8586']",Unknown
2992,475454,482,0670301650,"['2151-2299', '1614-0001']",Unknown
6241,491426,481,06602476427,['2147-6020'],True
1260,441718,481,062301803186,"['1468-2362', '1367-0271']",Unknown
1124,440762,480,06901379308,"['2168-989X', '0014-5858']",Unknown
1149,440957,480,061901565072,"['0016-920X', '2169-3099']",Unknown
2492,468645,480,0630737112,"['0277-2426', '1553-2704']",Unknown
810,438755,480,069013587,"['1469-3569', '1369-5258']",Unknown
1623,443774,479,0610518345,"['1469-9818', '1463-6204']",Unknown
1715,444303,478,061303082492,"['0954-3945', '1469-8021']",Unknown
751,438204,478,06210803934,"['1740-4649', '1478-8810']",Unknown
3218,477614,478,06401526149,"['2211-6958', '2211-6966']",Unknown
808,438753,478,06802598163,['0277-2027'],Unknown
4736,485934,477,06502330323,"['2083-4594', '1898-6773']",True
1264,441731,477,061601626697,"['0251-2513', '1873-0388', '1573-1782']",Unknown
2483,468529,477,062102654470,"['1742-058X', '1742-0598']",Unknown
3931,483216,477,061602188082,"['1479-4098', '2044-8414']",Unknown
8483,503987,475,062050733,"['1952-8108', '2109-9405']",True
3234,477710,475,061801350314,"['1879-9264', '1879-9272']",Unknown
2663,471170,474,06250316967,"['1752-1386', '1752-1378']",Unknown
5052,486848,474,06402325087,"['2524-4957', '2524-4965']",Unknown
4226,484440,474,06402843317,"['1750-0133', '1355-5502']",Unknown
2715,471813,474,062201631174,['1733-8077'],True
2338,448260,473,06220978993,"['2190-6262', '0049-8637']",Unknown
3021,475663,473,0631035827,"['1572-8544', '1570-1727']",Unknown
1734,444374,473,062401218195,"['0040-7585', '1571-8190']",Unknown
3134,476656,473,06120416415,"['1834-5530', '1321-103X']",Unknown
5695,489279,472,06101691885,['2525-4863'],True
1751,444467,472,06190165356,"['1572-8625', '0144-932X']",Unknown
3885,483031,471,06802265489,"['1300-2899', '2149-9683']",Unknown
3223,477640,471,06260668194,['1751-1348'],Unknown
1854,445291,470,06601239530,"['1092-6690', '1541-8480']",Unknown
2795,472803,470,061101057339,"['1988-3056', '1137-0734']",True
2370,449268,470,061802081142,"['1877-8372', '0078-6527']",Unknown
1522,443177,470,061102045660,['1549-4721'],Unknown
2724,471927,469,062101563977,['1875-0281'],True
3807,482684,469,0611030684,"['0961-5652', '1745-8188']",Unknown
2964,475081,469,06601844936,"['1559-744X', '1559-7431']",Unknown
129,340690,467,061301027713,"['0809-8131', '1944-8260']",Unknown
8503,504102,466,06902465927,"['2406-1255', '0550-2179']",True
5275,487612,466,06260922180,"['1750-8495', '1750-8487']",Unknown
3906,483093,465,062201686696,"['1782-1428', '1373-847X']",Unknown
4919,486444,465,065041895,"['1816-7403', '1991-7074']",True
3854,482925,465,0614029697,"['1141-7161', '2268-4247']",True
2512,468861,465,06202631805,"['1612-295X', '1613-365X']",Unknown
3086,476341,464,06301505697,"['1758-0854', '1758-0846']",Unknown
5262,487563,463,061801352622,"['1750-7812', '0218-5377']",Unknown
1837,445192,463,061101697305,"['1361-4533', '1740-7834']",Unknown
2674,471239,462,06401867860,"['1988-4273', '0210-5810']",True
876,439232,461,06160740356,"['1743-7962', '1468-2745']",Unknown
3338,478840,460,0690881242,"['0305-8034', '1749-6322']",Unknown
1099,440599,459,06703216628,"['0014-6242', '1613-0464']",Unknown
1244,441559,459,06250941128,"['1363-9811', '1469-8382']",Unknown
2802,472881,459,062501923204,"['0824-2577', '2293-734X']",True
4230,484454,459,061101249479,"['1777-5892', '0751-2708']",Unknown
1692,444234,458,06210549790,['1931-0234'],Unknown
3354,478921,458,06302798640,"['1879-4920', '1879-4912']",Unknown
901,439458,458,061501010206,"['1753-5522', '1350-5033']",Unknown
1208,441210,455,06150855847,"['1939-0610', '1093-4510']",Unknown
826,438805,455,0650514121,"['0270-5346', '1529-1510']",Unknown
856,439106,455,06603066359,['1533-6271'],Unknown
814,438768,453,0650522272,"['0307-0131', '1749-625X']",Unknown
2502,468715,452,0660184760,"['1472-9679', '1754-0402']",Unknown
605,436186,452,061801434823,['1570-8683'],Unknown
3808,482697,451,06110864438,"['1957-7745', '0982-1783']",Unknown
1778,444766,451,062103793240,"['0272-930X', '1535-0266']",Unknown
6708,494618,450,06901957909,"['2329-7662', '2329-7670']",Unknown
3036,475794,450,061501366351,"['1744-0491', '1755-0483', '1755-0491']",Unknown
2599,470668,449,06601444694,"['2050-5280', '0791-6035']",Unknown
1530,443198,449,06220821520,"['0144-0365', '1744-0564']",Unknown
396,343120,449,06190830336,"['0085-5553', '1569-1640']",Unknown
2534,469844,449,06101088110,"['1558-5263', '0920-1297']",True
7633,499292,449,06601174803,"['2329-0390', '2329-0382']",Unknown
1737,444380,449,06250116379,"['1531-4812', '0961-1215']",Unknown
1314,442044,449,061803340516,"['1874-6292', '1073-0508']",Unknown
5330,488003,449,06301649205,['2252-4940'],True
3105,476478,448,062201762018,"['1744-5515', '1574-0196']",Unknown
2539,469899,448,062102864216,['1933-6837'],True
722,438019,448,06801163952,"['1573-7519', '1573-7500', '1389-0166']",Unknown
783,438629,448,061803125636,"['2044-0456', '1357-3217']",Unknown
3414,479826,447,062202214255,"['1619-0033', '1314-2488']",True
7036,497002,447,06220650926,"['2470-9565', '1533-2276']",Unknown
2350,448299,447,06202520304,"['2196-7016', '0044-3506']",Unknown
7355,498415,446,06801755254,"['1551-823X', '1551-8248']",Unknown
321,342354,445,06240850903,['0305-9006'],Unknown
899,439446,445,06402225561,['1080-6520'],Unknown
2982,475306,444,062501843020,"['1749-6985', '1749-6977']",Unknown
1131,440808,443,0641015712,"['1569-9765', '0929-998X']",Unknown
4948,486502,443,06901081368,"['2211-9000', '1660-7112']",Unknown
1900,445681,443,0640548730,"['1569-1497', '1569-1500']",Unknown
3382,479252,442,06240598614,"['2111-5044', '0765-4944']",Unknown
1659,444034,442,06120704759,"['1541-3446', '1552-7840']",Unknown
2109,446917,442,061703096976,['1534-5165'],Unknown
5318,487903,442,062502220166,"['1309-0674', '1309-0658']",True
824,438801,441,0646066418,"['0954-5867', '1474-0621']",Unknown
1126,440768,441,061703316933,"['1386-4238', '1572-8463']",Unknown
3144,476744,441,062502234502,"['2150-4865', '2150-4857']",Unknown
2585,470548,441,062401342039,"['1745-7823', '1745-7831']",Unknown
3445,480141,440,0690554853,"['1755-1692', '1364-9809']",Unknown
6336,493156,440,06702264507,"['1918-6444', '1925-2099']",Unknown
721,438011,439,06502427434,"['2366-2794', '0003-9292']",Unknown
1743,444432,439,06103150448,"['1613-415X', '1430-0532']",Unknown
2558,470230,439,06230903861,"['1744-9200', '1744-9219']",Unknown
7800,500028,438,06401798883,['2732-5121'],True
2000,446327,438,061102440789,"['0048-671X', '2202-932X']",Unknown
1121,440723,437,06901226247,"['1542-3484', '0740-9710']",Unknown
4769,486020,437,06402509129,"['1804-2112', '0572-3043']",Unknown
1575,443529,436,06801459877,"['1569-1624', '0047-2662']",Unknown
1180,441159,436,06101501288,"['0018-2141', '1988-8368']",True
2348,448294,435,06903085458,"['0044-3441', '1570-0739']",Unknown
1783,444799,435,061501355884,"['0742-9797', '1533-8320']",Unknown
2172,447276,435,062402372422,"['1940-8412', '0305-7267']",Unknown
2678,471284,435,069061970,"['1572-0381', '1572-0373']",Unknown
6778,495087,435,06202248557,['2313-5778'],True
1100,440602,434,06802778990,"['1244-5460', '1958-9514']",Unknown
2365,449251,434,06501168225,"['0885-3134', '1557-7813']",Unknown
4436,485062,433,069053519,"['1868-6303', '1868-6311']",Unknown
2962,475060,433,06201373322,"['1745-8927', '1745-8935']",Unknown
1213,441224,433,06301861249,"['1476-7937', '8756-6583']",Unknown
2524,469068,432,062102077865,['0079-2993'],Unknown
3317,478699,432,06140450586,"['1754-4750', '1754-4769']",Unknown
6306,492779,432,0660457847,"['1754-3266', '1754-3274']",Unknown
3106,476483,432,06170851629,"['0264-2824', '1750-0206']",Unknown
1700,444284,432,06802562127,"['1532-7817', '1048-9223']",Unknown
2998,475476,431,061302225975,['1937-1209'],Unknown
3290,478376,431,0620819881,"['2084-6118', '0867-6046']",True
2391,450584,431,062602669341,"['0374-0463', '1949-0763']",Unknown
2048,446549,430,062501300604,"['0034-8341', '1988-3188']",True
631,437269,430,067028869,"['1741-2625', '1469-7874']",Unknown
3715,482099,430,061401965518,"['2219-8237', '0258-2279']",True
3056,476064,430,0670154352,"['1750-1229', '1750-1237']",Unknown
2758,472408,429,06160597854,"['0121-5612', '1900-6004']",True
1766,444645,429,06701666833,"['1532-7833', '1098-6065']",Unknown
951,439818,428,061201793315,"['0021-1818', '1613-0928']",Unknown
654,437543,428,061201159793,['1051-3558'],Unknown
4104,483983,428,061201262554,"['0340-2479', '1612-7048']",Unknown
883,439305,427,062301729103,"['1477-5700', '1741-2676']",Unknown
3795,482564,427,061075149,"['1646-6020', '0870-8231']",Unknown
4171,484100,427,062601684984,"['1508-2008', '2082-6737']",True
1671,444117,427,06120873544,['1527-8050'],Unknown
6657,494292,427,06901684689,['2176-6665'],True
311,342236,427,066044803,"['0805-9535', '0804-8452']",True
1654,443980,426,06403530390,"['1471-6933', '0269-0403']",Unknown
8478,503952,426,06130900670,['1040-2608'],Unknown
2872,473997,426,062201785867,['1697-011X'],True
3104,476467,425,0670815734,"['1941-9902', '1941-9899']",Unknown
1231,441288,424,0640792046,"['0167-9848', '1572-8501']",Unknown
3085,476337,424,06101339207,"['1281-2463', '1775-4283']",Unknown
1177,441141,424,06803491213,"['1469-834X', '1359-8139']",Unknown
1070,440460,422,06501169788,"['1571-8166', '1388-364X']",Unknown
2549,470013,422,062102011152,"['2104-404X', '1262-2966']",Unknown
2442,451604,420,0652030197,"['1745-8153', '0263-9904']",Unknown
2464,451955,420,062502676540,"['0075-1634', '1748-6181']",Unknown
2688,471520,420,0645012940,"['1573-6121', '0084-6724']",Unknown
1774,444735,418,06402159353,"['1743-940X', '0951-8967']",Unknown
1568,443450,418,061503742489,['0282-423X'],Unknown
989,440025,418,06180586871,"['1743-971X', '1350-1674']",Unknown
2407,451026,418,061203136079,['1466-4615'],True
507,417780,418,06240939885,"['1469-9613', '1356-9317']",Unknown
1679,444155,418,061101808121,"['1613-0723', '0022-7498']",Unknown
1806,444962,418,0638035486,"['2398-4961', '0047-8105']",Unknown
3549,481191,417,0670647865,"['2190-8370', '2151-2604']",Unknown
2566,470314,417,061501476793,['1576-4737'],True
3272,478100,417,0646029753,"['0748-8491', '1934-8924']",Unknown
2901,474312,415,06701549977,"['1982-4343', '0104-8775']",True
2807,472914,415,06801828752,['1306-3030'],Unknown
2247,447707,415,061403203,"['0257-3032', '1564-6971']",Unknown
3779,482530,415,06701606740,"['0860-150X', '2199-6059']",True
5902,490330,415,061801388332,['2409-9287'],True
1408,442619,414,061901012200,"['1567-7095', '1568-5373']",Unknown
3002,475495,414,0620912961,"['1744-9642', '1744-9650']",Unknown
3592,481602,414,06802368426,"['2300-195X', '0023-5172']",Unknown
5487,488532,414,06301490918,"['0014-1496', '1988-8546']",True
2304,448072,413,064042224,"['1705-933X', '0318-9201']",Unknown
1020,440115,413,06401308476,"['1911-0243', '0840-6286']",Unknown
2806,472907,413,06202309748,"['1334-4684', '1334-4676']",True
1437,442769,412,062201050359,['1086-3184'],Unknown
4992,486594,412,06120581641,['1958-5500'],True
2420,451212,411,06150879549,['1525-383X'],Unknown
4286,484751,411,06602589913,"['2083-8298', '1732-4254']",Unknown
930,439637,411,06170432934,"['1478-0046', '1478-0038']",Unknown
6244,491430,411,0617054076,"['2104-3728', '1960-1360']",Unknown
3146,476778,410,061901290766,"['1555-8622', '1935-3987']",Unknown
3295,478481,410,06902179120,['1938-7849'],True
2415,451173,410,06240899606,"['1749-6306', '0590-8876']",Unknown
3122,476586,410,062401776925,"['2032-3913', '2032-3921']",True
4113,483994,409,06101585260,"['0362-5028', '2325-2324']",Unknown
5315,487898,409,06602136389,"['2331-2548', '1348-8678']",Unknown
2720,471870,409,062301437285,"['1478-1700', '1751-2921']",Unknown
3567,481424,409,0690167751,"['1573-3823', '1383-7427']",Unknown
858,439115,409,06250435417,"['1067-8344', '0278-6656']",Unknown
2047,446548,408,06301490756,"['0210-9174', '1988-8538']",True
1980,446211,408,062101090051,"['2162-1535', '0275-3987']",Unknown
1884,445595,408,061702740634,"['1532-7922', '1529-5192']",Unknown
2535,469856,406,06702981535,['0145-5788'],Unknown
2528,469340,406,061502095076,"['1740-0236', '1740-0228']",Unknown
2713,471803,406,061901791575,"['1754-0208', '1754-0194']",Unknown
6372,493248,406,06101862960,['1708-6310'],True
7641,499308,406,062035371,"['2081-6960', '2544-0659']",True
7857,500311,405,062301255605,"['2719-826X', '1733-1218']",True
2158,447247,405,061601672916,"['0898-588X', '1469-8692']",Unknown
3094,476410,405,0640207328,"['1745-5189', '0966-7350']",Unknown
541,423856,405,062201863049,"['1385-4879', '1571-8115']",Unknown
6102,491016,404,061501988995,['2542-2987'],True
698,437866,404,062101693989,"['0066-4774', '2056-8819']",Unknown
3073,476220,404,061601222269,['1760-5393'],True
1865,445458,403,062401333576,"['1533-8592', '0094-0798']",Unknown
2950,474920,403,06602820391,['0258-0144'],Unknown
2579,470444,403,061703076006,"['1878-0385', '1747-938X']",Unknown
715,437986,403,06703216979,"['1613-0642', '0003-7982']",Unknown
2614,470822,403,06170216933,"['1558-9579', '1552-5864']",Unknown
2603,470710,402,0610266208,"['2042-8677', '1746-6660']",Unknown
5139,487053,402,06210227238,"['2051-5375', '2051-5367', '0263-5232']",Unknown
699,437874,401,062302607753,"['2295-9718', '1250-7334']",Unknown
628,437225,400,062201580828,['0001-6241'],Unknown
6603,494121,400,061802071438,['2367-7163'],True
8324,503129,399,062201700954,"['0973-0559', '2230-7125']",Unknown
